displacement,horsepower,weight,acceleration
206.1,89.3,2417,12.0
384.7,87.0,4892,13.3
316.9,185.9,1863,14.8
275.6,87.4,4012,12.1
138.4,90.8,3874,11.5
138.4,163.9,5182,24.2
108.0,117.5,4859,23.6
358.5,166.5,2084,8.8
276.3,59.8,3483,13.8
309.5,123.1,4128,14.9
96.4,55.0,2637,12.1
390.7,59.4,2630,18.7
348.1,186.0,2987,18.9
155.8,70.9,4765,22.5
146.4,129.9,2023,20.6
146.9,111.7,2583,17.2
184.3,102.1,5017,19.1
252.7,185.0,4812,12.7
223.9,53.3,2749,18.1
180.3,149.6,4901,16.3
279.7,194.5,1844,10.3
133.2,134.0,3610,12.1
180.6,190.5,2270,13.0
203.6,57.8,3881,23.7
231.4,112.8,4500,11.9
333.4,89.0,2629,12.9
151.9,159.6,3709,14.3
249.4,197.2,4068,19.3
273.6,88.5,3691,10.0
104.4,148.1,4381,24.2
278.3,79.7,2491,22.7
142.9,134.8,3190,17.8
110.2,119.6,2731,19.5
384.2,195.8,2640,8.3
389.3,141.3,4858,13.8
340.6,102.4,3738,21.5
184.4,67.1,3373,9.3
120.3,72.7,4429,12.8
302.1,83.8,4987,18.0
226.4,87.6,4086,12.4
127.8,177.6,4288,23.9
243.5,134.2,1947,10.2
100.7,128.5,2832,21.6
371.9,67.2,3111,16.6
170.2,179.0,2187,20.8
295.4,158.4,4921,13.3
186.6,60.2,3673,16.7
251.2,156.2,2715,22.6
259.5,131.5,3678,15.9
147.3,62.3,4485,14.1
390.6,118.7,2077,17.1
330.3,122.7,3777,20.2
381.2,74.9,3659,15.5
367.4,191.9,4836,24.0
275.3,177.5,5171,13.0
375.8,150.4,3625,16.1
117.4,119.3,4436,20.9
150.8,111.8,3633,19.7
104.0,147.6,4496,22.7
190.9,131.8,2417,24.9
210.5,59.3,3430,15.3
174.1,126.9,3982,9.9
346.9,171.0,2379,8.5
200.6,118.9,2970,20.4
177.1,57.8,2289,22.9
258.2,167.9,4325,11.8
133.7,80.2,2982,10.7
338.7,88.8,2183,9.1
113.1,74.7,1962,22.0
395.9,99.5,4288,13.3
329.4,163.5,3676,14.8
151.6,127.9,3012,16.5
91.7,80.7,4262,22.3
342.8,181.7,3162,19.1
309.1,181.9,3430,18.5
316.0,180.6,3004,11.0
329.1,85.8,2087,16.7
113.0,117.7,3657,20.2
201.1,197.7,1986,24.5
125.9,165.8,3707,11.4
357.6,54.1,2961,8.2
283.2,59.8,1929,9.3
192.6,119.6,4041,14.4
109.7,186.4,4163,21.9
186.4,130.8,3687,8.1
190.8,124.7,1943,15.8
316.2,65.8,1815,13.6
287.6,148.5,5173,8.9
365.0,173.3,4270,15.7
236.4,107.1,2044,12.3
127.1,166.3,2726,14.0
311.1,194.7,4978,20.0
325.8,80.6,4959,16.9
264.0,128.5,3976,10.1
329.0,93.1,2706,24.3
243.1,168.9,2686,18.8
252.0,136.6,2140,21.0
222.5,145.2,3851,9.3
97.9,169.7,5198,8.8
123.4,109.4,3233,8.3
99.7,187.3,2105,11.2
287.3,130.0,2707,15.0
187.5,73.7,4454,23.9
247.7,154.4,5096,15.8
371.3,169.0,3171,12.9
167.3,97.5,4839,17.6
217.2,178.6,2120,9.9
324.2,185.9,2358,18.4
160.9,91.5,3004,17.7
113.9,197.5,4465,21.5
179.8,71.1,4558,24.8
140.0,80.3,3209,12.3
378.2,77.6,3441,16.7
340.5,184.1,2931,23.5
286.4,148.1,4378,21.3
360.2,72.8,4257,16.3
339.1,116.0,5167,24.1
147.8,142.3,2617,9.0
366.7,62.5,2994,23.8
257.2,182.4,4340,8.9
340.3,170.5,5066,17.3
367.8,125.8,1811,23.1
188.6,195.1,1994,12.5
124.1,112.7,4337,16.0
160.7,197.6,4642,13.5
222.4,150.2,4728,24.2
343.6,145.2,4029,22.0
356.8,74.9,4809,20.1
92.2,182.3,2455,18.0
248.3,114.1,3721,22.0
219.4,74.3,5187,14.7
158.9,51.9,4541,15.6
127.2,134.0,3877,20.4
194.7,129.1,3419,14.1
382.3,157.9,2919,9.1
190.2,183.5,2577,9.3
250.8,61.9,2243,10.0
307.9,159.7,2097,22.8
202.7,78.1,2607,16.0
391.3,178.7,3560,20.1
388.4,172.9,2644,14.7
168.1,131.1,2815,12.4
244.1,156.5,3184,13.9
183.3,97.2,3197,21.5
178.3,120.7,2353,18.6
101.4,173.2,4150,23.9
279.0,118.9,2220,19.6
245.8,103.7,3069,17.7
106.0,124.1,3060,18.4
176.4,174.2,1984,24.0
371.6,100.3,2267,21.4
164.3,76.1,4601,8.4
134.9,156.8,4210,17.1
241.7,173.9,3106,19.7
395.6,65.1,3376,20.7
165.0,86.0,2135,11.6
298.4,71.3,4009,22.7
326.1,102.2,5031,24.2
163.7,117.6,3297,12.0
315.7,162.3,5193,23.0
204.0,147.7,3859,9.6
286.0,143.1,3247,8.9
286.4,102.9,4944,10.2
256.1,176.2,2387,9.0
118.0,120.7,3681,22.4
348.9,196.9,2000,9.0
189.4,145.1,2321,12.6
147.8,68.9,3687,9.8
102.6,151.4,4352,13.0
273.2,98.8,3511,9.5
300.0,152.9,2587,19.4
95.1,60.4,4910,10.3
248.7,76.2,1859,22.5
160.2,178.4,2377,21.9
290.0,84.1,2120,8.2
144.1,175.6,3258,23.2
304.2,91.9,3837,8.5
209.9,146.4,2722,12.1
380.4,154.1,3209,8.6
132.6,126.9,3494,13.7
195.7,95.8,2368,16.7
125.2,81.9,2901,21.5
376.7,55.0,5065,13.7
362.0,95.6,5156,20.0
170.0,148.0,2326,11.2
294.6,190.7,4371,20.8
343.3,180.7,4460,12.0
262.1,164.9,5027,10.4
254.2,168.3,3972,11.2
165.0,149.7,2670,11.1
118.9,89.0,2079,16.7
368.1,186.1,4764,22.4
369.1,150.6,4469,9.4
286.3,134.1,4693,20.0
195.1,66.6,3692,19.1
198.3,117.1,3551,22.8
315.0,119.1,2473,12.2
368.1,179.7,2951,15.7
365.0,132.0,4161,23.7
331.8,107.1,2131,19.2
289.0,196.5,2973,14.6
116.1,66.6,3839,10.2
140.1,113.4,3277,12.5
368.6,56.3,1835,17.9
278.0,161.0,3508,20.2
92.9,187.7,3243,10.1
121.5,92.0,4893,18.2
295.7,178.8,4053,17.4
91.6,93.8,4486,16.7
139.9,186.6,4695,19.7
260.1,163.1,3179,22.2
304.5,170.7,2239,13.5
292.1,52.7,4576,23.1
159.5,194.4,2919,10.7
310.8,159.0,4788,10.9
163.5,95.7,1963,12.5
190.9,174.4,1947,10.0
321.4,92.2,4141,11.9
291.4,180.9,1994,9.8
353.3,66.9,2462,22.0
293.9,155.6,2279,10.4
266.2,131.1,1922,20.7
119.0,64.5,3223,8.8
204.0,86.3,4546,24.1
172.2,51.9,2764,20.1
165.6,120.3,4508,8.1
391.6,95.2,4975,21.0
211.9,139.8,3578,16.7
366.5,94.6,3285,21.2
285.7,95.0,3814,16.9
336.4,161.5,2509,18.9
245.8,57.2,4243,21.4
268.8,185.4,2711,14.9
242.7,177.8,3160,8.0
150.5,150.2,4852,22.4
314.0,139.0,5013,14.5
177.0,183.8,4164,16.4
97.5,77.8,3534,8.1
290.1,61.8,3623,16.4
144.9,85.9,3379,24.8
381.5,169.2,2480,12.7
385.7,55.2,3133,14.7
373.6,137.4,4342,19.7
204.7,199.3,2355,21.9
94.8,178.4,2409,15.1
377.8,128.2,3956,13.3
222.7,59.5,2171,23.9
389.7,174.7,4702,19.5
388.7,139.8,2415,10.0
354.4,67.2,4615,9.2
181.3,64.1,3714,16.2
209.4,186.4,4053,11.7
353.9,150.4,2646,12.3
188.2,174.4,1842,22.9
142.5,181.8,2664,9.5
262.6,135.8,3068,20.2
380.2,127.6,5158,12.6
305.8,114.6,3178,20.9
266.7,97.5,2584,20.3
120.1,115.2,2275,8.1
280.7,166.1,1882,16.7
396.9,140.3,2933,10.4
133.4,183.9,4037,22.7
250.7,116.5,2599,22.8
362.0,141.1,2735,15.1
319.6,144.7,4098,15.6
306.1,138.8,4138,13.2
307.8,155.4,3468,20.2
201.4,85.6,5072,14.1
181.0,126.9,2125,12.6
340.9,65.6,3334,15.3
341.1,107.7,3785,9.6
358.8,123.2,3764,20.7
373.1,147.8,2636,8.2
248.5,192.6,2307,19.0
245.5,140.1,4578,11.1
337.5,161.5,3919,12.0
291.5,125.9,3070,18.8
307.6,145.1,2440,24.9
336.7,60.6,4787,21.2
365.9,88.2,3678,11.8
194.8,104.3,2407,11.0
206.4,120.9,3758,22.7
119.1,56.8,2365,15.6
269.3,71.0,3167,10.3
101.1,91.5,3901,22.7
234.3,195.7,3553,21.9
258.2,99.7,4375,24.7
178.8,122.3,4458,23.5
273.2,79.4,3381,22.5
99.5,141.6,3786,8.9
101.6,92.1,4040,9.8
345.0,81.0,3905,17.7
201.7,127.5,4982,17.0
129.4,50.8,1928,15.8
251.9,51.1,3672,14.7
328.7,82.9,2505,15.3
156.9,55.5,2651,17.7
283.1,66.2,5197,8.0
116.5,100.8,1807,12.4
106.0,170.4,3876,16.8
254.7,135.8,2935,20.3
257.6,126.9,4794,11.0
287.6,94.0,3978,17.3
315.1,189.8,4035,20.1
392.5,109.6,3498,15.6
250.1,63.1,4556,8.5
190.1,142.6,3298,15.6
336.5,67.1,5075,13.0
174.0,101.8,4059,23.8
226.1,126.1,3444,10.1
114.3,181.1,2075,19.1
97.9,124.0,4944,8.9
388.4,155.3,3502,15.6
349.2,198.9,3595,17.4
305.8,69.7,2042,13.1
216.8,91.2,4973,15.7
143.7,109.2,4834,10.8
138.5,113.3,4532,13.2
167.6,111.7,1970,18.6
260.3,186.1,2452,13.1
311.5,157.1,3732,23.3
294.7,141.2,4035,18.7
176.8,96.4,2909,15.5
386.0,173.6,3299,8.7
318.7,193.3,3899,16.5
261.8,173.2,3958,21.0
279.6,50.2,3772,12.5
220.1,145.5,4724,21.7
166.8,57.7,2866,12.3
200.4,88.6,4058,22.0
324.9,58.9,3835,9.4
94.5,140.6,5071,22.7
126.0,153.0,2657,16.5
104.3,67.2,4474,13.0
102.6,107.6,2849,12.5
355.2,118.4,2098,15.3
308.1,105.4,4948,25.0
237.0,68.2,2723,11.7
120.3,112.8,1936,9.8
242.4,162.7,2843,17.9
236.8,60.7,4287,16.3
143.7,62.0,2010,16.9
224.5,103.2,4599,19.3
213.5,191.3,3374,12.5
280.9,150.3,4282,23.5
286.9,151.8,2579,15.4
104.0,104.3,3030,10.2
206.1,139.0,4286,20.6
284.0,51.5,3602,18.9
246.0,145.4,4513,13.4
355.5,187.0,2865,18.6
294.2,141.9,2210,11.7
140.5,181.1,4653,15.6
111.9,158.6,4457,23.3
289.1,68.1,2226,10.3
98.2,185.4,5146,14.6
271.6,60.0,3271,22.0
381.5,130.1,4749,24.5
268.4,71.3,2741,15.7
210.3,51.8,3707,16.6
289.4,113.3,2541,17.7
232.1,94.3,3192,23.8
259.1,122.9,3043,22.6
381.9,136.6,3400,10.9
209.7,56.6,3055,15.4
388.0,68.5,2127,15.9
370.7,133.8,3266,21.4
150.7,101.5,3899,18.2
111.5,159.4,3766,19.1
121.2,147.8,2175,25.0
95.6,176.8,2062,9.3
119.3,153.9,2066,11.8
301.7,114.5,4206,14.9
112.1,150.9,5188,13.9
188.9,91.3,5195,8.4
351.9,95.9,3744,9.6
97.2,168.3,3693,19.6
342.5,117.0,3701,22.9
177.4,169.8,4499,16.7
126.6,173.4,3452,17.2
306.0,178.6,3244,12.3
285.0,187.5,1845,21.1
362.0,114.6,2399,20.8
317.9,97.8,2519,18.0
339.1,137.3,3712,11.6
177.4,105.7,3092,9.6
145.0,140.2,2400,9.1
322.7,155.8,2180,18.1
340.1,153.3,1917,22.0
397.1,106.2,3963,22.6
217.9,75.0,2059,15.9
205.3,114.6,2898,21.3
330.7,71.4,3303,24.1
195.6,183.5,4152,12.7
378.5,101.9,3854,14.8
356.1,73.2,2165,23.8
223.0,53.8,3457,13.7
322.8,146.9,4370,23.5
323.9,145.5,3261,24.7
122.0,101.1,3824,19.3
369.8,60.8,5086,21.9
246.6,111.4,4276,20.7
346.2,96.7,2590,19.9
189.2,151.6,2546,13.2
367.6,140.9,4214,9.0
210.7,104.7,2112,13.8
93.4,82.7,2337,19.3
370.7,198.2,2720,9.7
118.3,118.1,2877,8.2
189.0,153.2,3290,10.4
384.5,71.1,4712,20.2
384.7,122.8,5035,24.5
267.8,54.1,4629,24.7
285.9,125.8,4181,16.4
229.0,194.6,2597,22.8
180.9,107.6,2147,20.5
191.9,55.8,2072,16.5
298.5,54.6,4810,17.7
323.2,108.2,2519,10.3
335.4,74.0,3573,23.9
334.8,53.5,4347,14.0
118.3,163.4,4964,15.6
243.3,118.8,2484,19.4
107.8,93.4,3926,13.7
260.4,185.0,2421,12.3
226.9,67.4,3839,18.7
365.2,193.4,5088,8.4
198.8,97.1,2746,20.3
126.3,183.3,4205,16.7
134.3,140.4,4465,18.3
326.1,174.0,2306,18.7
281.6,197.6,3382,17.0
121.3,93.3,5052,17.9
116.1,194.2,4423,19.6
307.3,108.4,5117,20.8
112.6,107.8,2043,20.4
344.8,101.1,2305,22.8
308.9,131.2,2221,11.2
115.2,73.1,5191,14.8
116.3,133.1,4958,24.1
395.9,131.3,4064,14.7
206.0,164.3,5149,10.1
204.9,175.0,3672,16.9
342.0,116.1,4856,9.9
383.6,95.3,2992,11.4
395.7,88.9,2129,25.0
323.5,79.2,2449,17.2
206.6,58.6,3264,12.8
115.9,101.4,2190,24.9
330.9,90.5,3319,24.4
263.1,195.0,2180,15.5
221.5,133.7,5177,12.4
371.0,102.1,2541,22.3
124.5,137.1,3810,20.2
242.7,70.9,2619,19.7
93.5,116.6,2472,23.2
235.3,143.9,4360,19.7
107.5,123.3,3571,12.8
126.8,110.3,4796,19.8
126.4,199.1,3011,13.2
291.3,182.0,2729,20.9
321.3,143.5,3339,18.5
270.8,135.4,2712,9.3
388.3,143.1,2443,16.7
206.2,80.2,2226,13.8
178.6,109.3,2301,13.6
359.3,55.9,2529,18.2
159.3,121.3,3083,13.5
388.6,131.5,3918,21.2
93.8,84.2,4325,9.2
390.7,194.6,5049,19.2
103.4,186.4,2256,21.8
366.3,158.3,4036,19.4
253.6,130.0,2090,16.5
397.8,180.5,2719,24.2
112.9,69.6,4139,13.1
261.7,168.6,3769,8.3
390.5,68.7,2555,15.3
252.2,169.1,3458,8.6
285.1,91.4,3634,24.2
305.7,181.6,3106,11.6
230.9,191.6,3367,21.4
284.5,72.3,3669,21.2
271.1,119.4,2176,11.7
369.4,197.1,2979,18.6
104.1,122.5,2307,8.8
177.1,179.5,3236,16.2
384.6,138.3,4375,8.2
366.0,106.3,2358,23.7
231.3,92.9,5058,24.6
282.2,80.5,4902,11.8
176.0,164.3,4107,11.5
148.3,108.0,2220,20.8
233.7,126.7,3352,12.3
199.5,123.8,2103,23.2
270.9,136.6,2741,17.8
114.1,179.8,4910,14.0
392.1,197.1,4389,22.2
395.7,111.1,3101,16.4
306.4,174.1,5074,23.5
256.2,164.7,2889,23.8
186.0,136.0,3955,10.8
342.3,193.4,4115,8.0
302.3,80.1,4069,24.7
140.4,66.4,3627,23.4
